Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,2.000000,2.080000,2.000000,2.030000,2.030000,133700
2020-05-08,2.080000,2.300000,2.000000,2.280000,2.280000,256000
2020-05-11,2.240000,2.400000,2.120000,2.260000,2.260000,321800
2020-05-12,2.400000,2.600000,2.310000,2.570000,2.570000,565300
2020-05-13,2.310000,2.430000,2.000000,2.080000,2.080000,826300
2020-05-14,2.080000,2.200000,1.910000,2.020000,2.020000,379300
2020-05-15,2.010000,2.090000,1.950000,2.020000,2.020000,245400
2020-05-18,2.090000,2.170000,2.050000,2.100000,2.100000,278200
2020-05-19,2.120000,2.160000,2.040000,2.070000,2.070000,178800
2020-05-20,2.110000,2.140000,2.050000,2.090000,2.090000,208800
2020-05-21,2.100000,2.280000,2.100000,2.180000,2.180000,376800
2020-05-22,2.210000,2.270000,2.170000,2.250000,2.250000,141100
2020-05-26,2.330000,2.720000,2.310000,2.650000,2.650000,583100
2020-05-27,2.790000,3.050000,2.720000,3.020000,3.020000,452000
2020-05-28,3.100000,3.190000,2.760000,2.830000,2.830000,462800
2020-05-29,2.750000,2.910000,2.650000,2.850000,2.850000,267000
2020-06-01,2.930000,3.190000,2.850000,3.030000,3.030000,227900
2020-06-02,3.100000,3.260000,2.930000,2.990000,2.990000,285600
2020-06-03,3.200000,3.250000,3.110000,3.130000,3.130000,248900
2020-06-04,3.050000,3.360000,3.040000,3.250000,3.250000,186000
2020-06-05,3.480000,3.800000,3.450000,3.640000,3.640000,405100
2020-06-08,3.800000,4.030000,3.780000,3.900000,3.900000,387100
2020-06-09,3.850000,3.960000,3.470000,3.860000,3.860000,332800
2020-06-10,3.860000,3.860000,3.090000,3.450000,3.450000,402300
2020-06-11,2.900000,3.120000,2.700000,2.730000,2.730000,531200
2020-06-12,2.950000,3.440000,2.900000,3.270000,3.270000,459400
2020-06-15,3.000000,3.350000,2.950000,3.190000,3.190000,214800
2020-06-16,3.400000,3.470000,3.210000,3.360000,3.360000,306900
2020-06-17,3.350000,3.360000,3.110000,3.210000,3.210000,200200
2020-06-18,3.120000,3.410000,3.060000,3.220000,3.220000,142600
2020-06-19,3.260000,3.440000,3.150000,3.180000,3.180000,260400
2020-06-22,3.080000,3.250000,2.970000,3.020000,3.020000,233900
2020-06-23,3.100000,3.240000,3.070000,3.140000,3.140000,178400
2020-06-24,3.100000,3.150000,2.880000,3.000000,3.000000,199400
2020-06-25,2.920000,3.020000,2.860000,2.990000,2.990000,164100
2020-06-26,2.940000,3.200000,2.830000,3.140000,3.140000,579800
2020-06-29,2.990000,3.370000,2.990000,3.160000,3.160000,224500
2020-06-30,3.220000,3.300000,3.070000,3.240000,3.240000,160400
2020-07-01,3.280000,3.310000,3.180000,3.240000,3.240000,86600
2020-07-02,3.300000,3.350000,3.140000,3.210000,3.210000,165400
